SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	Peso	Tara	container_description
40	Special	Special | Especiales	OS	Open side	CW	Carga | Cargo Worthy	40OS CW	111	size > 40PIES; Condition > CW; general > Special > OS		2.43	2.59	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OS	Open side	ASIS	Almacenaje / Modificacion | Storage	40OS ASIS	112	size > 40PIES; Condition > ASIS; general > Special > OS		2.43	2.59	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OS	Open side	NEW	Nuevo | NEW	40OS NEW	113	size > 40PIES; Condition > NEW; general > Special > OS		2.43	2.59	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OT	Open Top	CW	Carga | Cargo Worthy	40OT CW	114	size > 40PIES; Condition > CW; general > Special > OT		2.43	2.59	12.19			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
40	Special	Special | Especiales	OT	Open Top	ASIS	Almacenaje / Modificacion | Storage	40OT ASIS	115	size > 40PIES; Condition > ASIS; general > Special > OT		2.43	2.59	12.19			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
40	Special	Special | Especiales	OT	Open Top	NEW	Nuevo | NEW	40OT NEW	116	size > 40PIES; Condition > NEW; general > Special > OT		2.43	2.59	12.19			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
40	Special	Special | Especiales	OT	Open Top	REBUILT	Carga | Cargo Worthy	40OT REBUILT	117	size > 40PIES; Condition > REBUILT; general > Special > OT		2.43	2.59	12.19			Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga dimensionada o bien, cargar por arriba la mercaderia y no necesariamente por las puertas.
40	Special	Special | Especiales	TK	Tank	CW	Carga | Cargo Worthy	40TK CW	118	size > 40PIES; Condition > CW; general > Special > TK		2.43	2.59	12.19			Contenedores para transporte de liquidos o a granel
40	Special	Special | Especiales	TK	Tank	ASIS	Almacenaje / Modificacion | Storage	40TK ASIS	119	size > 40PIES; Condition > ASIS; general > Special > TK		2.43	2.59	12.19			Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
40	Special	Special | Especiales	TK	Tank	NEW	Nuevo | NEW	40TK NEW	120	size > 40PIES; Condition > NEW; general > Special > TK		2.43	2.59	12.19			Contenedores para transporte de liquidos o a granel
40	Special	Special | Especiales	DC DD	Standard Double Door	CW	Carga | Cargo Worthy	40DC DD CW	121	size > 40PIES; Condition > CW; general > Special > DC DD		2.43	2.59	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	DC DD	Standard Double Door	NEW	Nuevo | NEW	40DC DD NEW	122	size > 40PIES; Condition > NEW; general > Special > DC DD		2.43	2.59	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	DC DD	Standard Double Door	1st Voyage	1er viaje | 1st voyage	40DC DD 1st Voyage	123	size > 40PIES; Condition > 1st Voyage; general > Special > DC DD		2.43	2.59	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	HC DD	High Cube Double Door	CW	Carga | Cargo Worthy	40HC DD CW	124	size > 40PIES; Condition > CW; general > Special > HC DD		2.43	2.89	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	HC DD	High Cube Double Door	NEW	Nuevo | NEW	40HC DD NEW	125	size > 40PIES; Condition > NEW; general > Special > HC DD		2.43	2.89	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	HC DD	High Cube Double Door	1st Voyage	1er viaje | 1st voyage	40HC DD 1st Voyage	126	size > 40PIES; Condition > 1st Voyage; general > Special > HC DD		2.43	2.89	12.19			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
45	Dry	Seco | Dry	DC	DRY Standard	CW	Carga | Cargo Worthy	45DC CW	127	size > 45PIES; Condition > CW; general > Dry > DC		2.44	2.69	13.72			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje / Modificacion | Storage	45DC ASIS	128	size > 45PIES; Condition > ASIS; general > Dry > DC		2.44	2.69	13.72			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, sin duda es su relacion, calidad - precio es lo que que recomendamos para nuestros clientes.
45	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo | NEW	45DC NEW	129	size > 45PIES; Condition > NEW; general > Dry > DC		2.44	2.69	13.72			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco | Dry	DC	DRY Standard	1st Voyage	1er viaje | 1st voyage	45DC 1st Voyage	130	size > 45PIES; Condition > 1st Voyage; general > Dry > DC		2.44	2.69	13.72			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
